store_id,product_id,stock_on_hand,stock_on_order,last_restock_date,aisle_location
ST001,P0001,185,20,2025-11-29,Aisle 1
ST001,P0002,42,40,2025-12-14,Produce
ST001,P0003,298,100,2025-11-22,Aisle 5
ST001,P0004,279,0,2025-12-27,Aisle 5
ST001,P0005,71,0,2025-12-24,Aisle 1
ST001,P0006,226,0,2025-11-24,Aisle 5
ST001,P0007,175,60,2025-12-19,Aisle 2
ST001,P0008,175,60,2025-12-08,Bakery
ST001,P0009,255,0,2025-12-28,Aisle 3
ST001,P0010,328,40,2025-11-24,Bakery
ST001,P0011,42,0,2025-11-30,Aisle 5
ST001,P0012,230,20,2025-12-13,Bakery
ST001,P0013,85,0,2025-11-21,Produce
ST001,P0014,36,60,2025-12-20,Household
ST001,P0015,312,0,2025-12-20,Aisle 4
ST001,P0016,297,60,2025-12-02,Produce
ST001,P0017,193,100,2025-11-28,Chilled
ST001,P0018,294,60,2025-12-24,Aisle 2
ST001,P0019,7,60,2025-11-27,Frozen
ST001,P0020,253,100,2025-12-05,Aisle 2
ST001,P0021,82,60,2025-11-18,Bakery
ST001,P0022,45,100,2025-11-27,Aisle 5
ST001,P0023,262,20,2025-12-09,Frozen
ST001,P0024,93,0,2025-11-28,Aisle 3
ST001,P0025,153,40,2025-12-12,Chilled
ST001,P0026,238,60,2025-12-10,Aisle 5
ST001,P0027,175,40,2025-11-30,Aisle 4
ST001,P0028,3,0,2025-12-27,Aisle 3
ST001,P0029,138,20,2025-12-25,Frozen
ST001,P0030,5,100,2025-12-09,Bakery
ST001,P0031,325,0,2025-12-19,Aisle 3
ST001,P0032,95,40,2025-11-20,Aisle 5
ST001,P0033,85,20,2025-12-20,Bakery
ST001,P0034,9,20,2025-12-26,Bakery
ST001,P0035,251,0,2025-12-27,Produce
ST001,P0036,20,40,2025-12-08,Aisle 1
ST001,P0037,310,100,2025-11-21,Household
ST001,P0038,91,40,2025-11-30,Frozen
ST001,P0039,29,0,2025-12-18,Aisle 3
ST001,P0040,181,20,2025-12-18,Aisle 4
ST001,P0041,288,20,2025-12-12,Household
ST001,P0042,299,0,2025-12-29,Produce
ST001,P0043,222,20,2025-11-23,Aisle 3
ST001,P0044,260,60,2025-12-22,Chilled
ST001,P0045,162,60,2025-12-28,Bakery
ST001,P0046,303,20,2025-12-11,Aisle 2
ST001,P0047,340,60,2025-12-07,Aisle 3
ST001,P0048,79,0,2025-12-01,Aisle 4
ST001,P0049,174,40,2025-11-30,Aisle 5
ST001,P0050,162,0,2025-12-14,Aisle 2
ST001,P0051,134,100,2025-12-17,Aisle 2
ST001,P0052,108,40,2025-12-12,Aisle 5
ST001,P0053,132,100,2025-11-29,Chilled
ST001,P0054,260,0,2025-12-26,Aisle 2
ST001,P0055,201,20,2025-12-03,Aisle 5
ST001,P0056,336,0,2025-11-23,Chilled
ST001,P0057,277,0,2025-12-26,Aisle 5
ST001,P0058,341,60,2025-12-21,Aisle 3
ST001,P0059,53,20,2025-11-24,Aisle 3
ST001,P0060,213,0,2025-12-21,Aisle 5
ST001,P0061,12,0,2025-12-13,Chilled
ST001,P0062,321,0,2025-11-21,Bakery
ST001,P0063,320,20,2025-12-09,Bakery
ST001,P0064,90,60,2025-12-22,Aisle 4
ST001,P0065,66,40,2025-12-24,Aisle 3
ST001,P0066,333,60,2025-11-30,Aisle 4
ST002,P0001,8,40,2025-12-14,Frozen
ST002,P0002,60,40,2025-11-28,Aisle 4
ST002,P0003,103,40,2025-12-17,Household
ST002,P0004,336,40,2025-11-22,Frozen
ST002,P0005,12,0,2025-11-25,Aisle 1
ST002,P0006,115,0,2025-12-17,Produce
ST002,P0007,306,20,2025-12-29,Household
ST002,P0008,311,60,2025-12-26,Aisle 1
ST002,P0009,255,20,2025-12-24,Frozen
ST002,P0010,23,40,2025-11-24,Bakery
ST002,P0011,86,60,2025-12-16,Aisle 1
ST002,P0012,124,20,2025-11-16,Chilled
ST002,P0013,335,100,2025-12-22,Aisle 4
ST002,P0014,77,0,2025-12-22,Aisle 2
ST002,P0015,264,60,2025-12-20,Chilled
ST002,P0016,210,40,2025-12-26,Aisle 5
ST002,P0017,278,100,2025-12-28,Frozen
ST002,P0018,71,20,2025-11-18,Bakery
ST002,P0019,173,0,2025-12-13,Aisle 3
ST002,P0020,44,40,2025-11-22,Aisle 3
ST002,P0021,154,100,2025-12-30,Frozen
ST002,P0022,246,20,2025-12-15,Frozen
ST002,P0023,335,40,2025-12-07,Aisle 5
ST002,P0024,51,0,2025-12-03,Aisle 4
ST002,P0025,75,60,2025-12-26,Household
ST002,P0026,180,40,2025-11-22,Chilled
ST002,P0027,124,0,2025-11-20,Bakery
ST002,P0028,237,20,2025-12-30,Aisle 4
ST002,P0029,191,60,2025-12-11,Aisle 2
ST002,P0030,195,0,2025-12-22,Aisle 4
ST002,P0031,167,0,2025-12-11,Bakery
ST002,P0032,200,0,2025-12-01,Chilled
ST002,P0033,308,0,2025-11-19,Bakery
ST002,P0034,138,0,2025-11-22,Bakery
ST002,P0035,172,0,2025-12-24,Frozen
ST002,P0036,138,100,2025-12-23,Produce
ST002,P0037,98,100,2025-11-25,Chilled
ST002,P0038,244,60,2025-12-19,Chilled
ST002,P0039,10,100,2025-12-07,Household
ST002,P0040,236,20,2025-12-29,Frozen
ST002,P0041,127,100,2025-12-17,Chilled
ST002,P0042,172,40,2025-12-26,Household
ST002,P0043,315,40,2025-12-20,Chilled
ST002,P0044,116,0,2025-11-27,Aisle 4
ST002,P0045,282,0,2025-12-18,Produce
ST002,P0046,249,20,2025-11-18,Aisle 2
ST002,P0047,57,60,2025-12-29,Bakery
ST002,P0048,175,0,2025-12-30,Aisle 4
ST002,P0049,25,20,2025-11-27,Frozen
ST002,P0050,210,60,2025-11-23,Household
ST002,P0051,264,40,2025-12-01,Produce
ST002,P0052,299,40,2025-12-09,Aisle 3
ST002,P0053,144,60,2025-11-26,Aisle 5
ST002,P0054,145,20,2025-12-30,Bakery
ST002,P0055,30,40,2025-12-04,Aisle 1
ST002,P0056,241,20,2025-12-27,Aisle 5
ST002,P0057,44,40,2025-12-25,Household
ST002,P0058,299,60,2025-11-17,Aisle 2
ST002,P0059,261,100,2025-11-16,Chilled
ST002,P0060,42,40,2025-11-18,Aisle 4
ST002,P0061,286,20,2025-12-07,Aisle 3
ST002,P0062,74,100,2025-11-27,Aisle 5
ST002,P0063,124,40,2025-11-19,Chilled
ST002,P0064,96,0,2025-12-25,Bakery
ST002,P0065,124,40,2025-12-04,Aisle 1
ST002,P0066,244,0,2025-11-19,Frozen
ST003,P0001,298,100,2025-11-26,Aisle 1
ST003,P0002,2,60,2025-12-22,Aisle 4
ST003,P0003,240,0,2025-11-30,Aisle 3
ST003,P0004,196,40,2025-12-17,Aisle 3
ST003,P0005,300,0,2025-12-01,Aisle 5
ST003,P0006,308,100,2025-12-06,Aisle 4
ST003,P0007,8,0,2025-12-05,Household
ST003,P0008,207,0,2025-11-21,Frozen
ST003,P0009,208,20,2025-11-18,Aisle 2
ST003,P0010,11,0,2025-12-21,Frozen
ST003,P0011,187,60,2025-12-13,Frozen
ST003,P0012,44,0,2025-12-03,Aisle 1
ST003,P0013,326,100,2025-12-28,Aisle 4
ST003,P0014,191,0,2025-12-11,Household
ST003,P0015,266,20,2025-12-03,Bakery
ST003,P0016,143,60,2025-12-04,Chilled
ST003,P0017,339,40,2025-11-18,Aisle 5
ST003,P0018,197,0,2025-12-31,Aisle 3
ST003,P0019,344,0,2025-11-20,Aisle 3
ST003,P0020,237,60,2025-12-11,Aisle 1
ST003,P0021,4,0,2025-12-11,Household
ST003,P0022,285,20,2025-12-01,Produce
ST003,P0023,315,0,2025-12-05,Aisle 1
ST003,P0024,24,20,2025-12-28,Bakery
ST003,P0025,320,0,2025-12-01,Household
