product_id,product_name,category,brand,supplier_id,unit_cost,unit_price,vat_rate,reorder_level,active
P0001,Bananas,Fresh Produce,RYStore Finest,SUP010,0.25,0.45,0.0,34,False
P0002,Apples 6 Pack,Fresh Produce,Nature Basket,SUP002,1.4,2.2,0.0,41,False
P0003,Mixed Salad Bag,Fresh Produce,Everyday Choice,SUP004,0.8,1.5,0.0,75,False
P0004,Broccoli Head,Fresh Produce,RYStore Finest,SUP008,0.55,1.1,0.0,107,True
P0005,Cherry Tomatoes,Fresh Produce,Urban Kitchen,SUP010,1.1,2.0,0.0,42,True
P0006,Avocado,Fresh Produce,Nature Basket,SUP005,0.75,1.5,0.0,58,True
P0007,Carrots 1kg,Fresh Produce,FreshWay,SUP011,0.5,0.95,0.0,42,True
P0008,Potatoes 2.5kg,Fresh Produce,FreshWay,SUP008,1.2,2.1,0.0,64,True
P0009,Strawberries 400g,Fresh Produce,RYStore Value,SUP004,1.8,3.0,0.0,89,True
P0010,Onions 1kg,Fresh Produce,Everyday Choice,SUP006,0.55,1.1,0.0,51,True
P0011,Semi-skimmed Milk 2L,Dairy & Eggs,Nature Basket,SUP008,1.15,1.85,0.0,94,True
P0012,Free Range Eggs 12,Dairy & Eggs,Farmhouse Select,SUP008,1.8,3.2,0.0,50,True
P0013,Cheddar Cheese 400g,Dairy & Eggs,Urban Kitchen,SUP005,2.1,3.8,0.0,81,True
P0014,Greek Yogurt 500g,Dairy & Eggs,RYStore Finest,SUP002,1.2,2.2,0.0,82,True
P0015,Butter 250g,Dairy & Eggs,RYStore Finest,SUP007,1.35,2.4,0.0,73,True
P0016,Oat Milk 1L,Dairy & Eggs,Urban Kitchen,SUP006,1.0,2.0,0.0,69,True
P0017,Mozzarella 125g,Dairy & Eggs,Urban Kitchen,SUP003,0.7,1.3,0.0,76,True
P0018,White Loaf,Bakery,FreshWay,SUP007,0.65,1.2,0.0,24,True
P0019,Sourdough Loaf,Bakery,Urban Kitchen,SUP008,1.6,3.2,0.0,28,True
P0020,Croissant 4 Pack,Bakery,RYStore Finest,SUP002,1.4,2.6,0.0,33,True
P0021,Bagels 5 Pack,Bakery,RYStore Finest,SUP008,1.0,1.9,0.0,78,True
P0022,Chocolate Muffins 4 Pack,Bakery,Nature Basket,SUP009,1.5,2.75,0.0,63,True
P0023,Tortilla Wraps 8,Bakery,Nature Basket,SUP012,0.85,1.6,0.0,74,True
