order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_net_amount,line_vat_amount,promotion_id
OI0000001,ORD000001,P0004,1,1.1,0.0,1.1,0.0,
OI0000002,ORD000001,P0016,2,2.0,0.0,4.0,0.0,
OI0000003,ORD000001,P0011,1,1.85,0.0,1.85,0.0,
OI0000004,ORD000001,P0060,6,2.2,0.0,13.2,2.64,
OI0000005,ORD000001,P0009,2,3.0,0.0,6.0,0.0,
OI0000006,ORD000002,P0057,2,6.5,0.0,13.0,2.6,
OI0000007,ORD000002,P0022,2,2.75,0.0,5.5,0.0,
OI0000008,ORD000003,P0064,2,1.5,0.0,3.0,0.6,
OI0000009,ORD000004,P0004,5,1.1,0.0,5.5,0.0,
OI0000010,ORD000004,P0048,4,4.8,0.0,19.2,3.84,
OI0000011,ORD000005,P0028,1,2.3,0.23,2.07,0.0,PROMO004
OI0000012,ORD000005,P0043,3,1.2,0.0,3.6,0.0,
OI0000013,ORD000005,P0064,2,1.5,0.0,3.0,0.6,
OI0000014,ORD000006,P0042,1,2.0,0.0,2.0,0.0,
OI0000015,ORD000006,P0010,3,1.1,0.0,3.3,0.0,
OI0000016,ORD000006,P0055,2,3.2,0.0,6.4,1.28,
OI0000017,ORD000006,P0047,1,1.85,0.0,1.85,0.37,
OI0000018,ORD000006,P0020,2,2.6,0.0,5.2,0.0,
OI0000019,ORD000007,P0062,1,3.2,0.0,3.2,0.64,
OI0000020,ORD000007,P0005,3,2.0,0.0,6.0,0.0,
OI0000021,ORD000007,P0015,1,2.4,0.0,2.4,0.0,
OI0000022,ORD000007,P0057,1,6.5,0.0,6.5,1.3,
OI0000023,ORD000007,P0044,2,1.1,0.0,2.2,0.0,
OI0000024,ORD000008,P0014,4,2.2,0.0,8.8,0.0,
OI0000025,ORD000008,P0037,3,0.75,0.0,2.25,0.0,
OI0000026,ORD000009,P0011,1,1.85,0.0,1.85,0.0,
OI0000027,ORD000009,P0036,1,2.2,0.0,2.2,0.0,
OI0000028,ORD000009,P0052,2,0.9,0.0,1.8,0.36,
OI0000029,ORD000009,P0042,2,2.0,0.0,4.0,0.0,
OI0000030,ORD000009,P0019,2,3.2,0.0,6.4,0.0,
OI0000031,ORD000010,P0042,2,2.0,0.0,4.0,0.0,
OI0000032,ORD000010,P0035,4,0.95,0.0,3.8,0.0,
OI0000033,ORD000010,P0034,1,1.8,0.0,1.8,0.0,
OI0000034,ORD000010,P0047,1,1.85,0.0,1.85,0.37,
OI0000035,ORD000011,P0014,3,2.2,0.0,6.6,0.0,
OI0000036,ORD000011,P0029,1,6.0,0.0,6.0,0.0,
OI0000037,ORD000011,P0043,1,1.2,0.0,1.2,0.0,
OI0000038,ORD000011,P0005,3,2.0,0.0,6.0,0.0,
OI0000039,ORD000011,P0062,2,3.2,0.0,6.4,1.28,
OI0000040,ORD000012,P0009,2,3.0,0.0,6.0,0.0,
OI0000041,ORD000012,P0015,1,2.4,0.0,2.4,0.0,
OI0000042,ORD000012,P0007,1,0.95,0.0,0.95,0.0,
OI0000043,ORD000012,P0024,1,6.2,0.0,6.2,0.0,
OI0000044,ORD000012,P0011,3,1.85,0.0,5.55,0.0,
OI0000045,ORD000012,P0005,3,2.0,0.0,6.0,0.0,
OI0000046,ORD000012,P0029,2,6.0,0.0,12.0,0.0,
OI0000047,ORD000013,P0050,1,1.5,0.0,1.5,0.3,
OI0000048,ORD000013,P0035,1,0.95,0.0,0.95,0.0,
