order_id,order_datetime,store_id,customer_id,order_channel,payment_method,order_status,subtotal,discount_total,vat_total,delivery_fee,total_amount
ORD000001,2025-01-13 15:04:34,ST006,CUST00716,Online,Cash,Completed,26.15,0.0,2.64,3.49,32.28
ORD000002,2025-07-19 07:42:37,ST008,CUST00509,In-store,Card,Completed,18.5,0.0,2.6,0.0,21.1
ORD000003,2025-12-03 17:34:02,ST003,CUST00129,In-store,Card,Completed,3.0,0.0,0.6,0.0,3.6
ORD000004,2025-10-09 13:32:26,ST003,CUST00374,In-store,Card,Completed,24.7,0.0,3.84,0.0,28.54
ORD000005,2025-08-14 21:40:35,ST005,,In-store,Card,Completed,8.9,0.23,0.6,0.0,9.27
ORD000006,2025-05-20 10:18:17,ST007,,In-store,Card,Completed,18.75,0.0,1.65,0.0,20.4
ORD000007,2025-12-25 14:53:34,ST005,CUST00268,In-store,Card,Completed,20.3,0.0,1.94,0.0,22.24
ORD000008,2025-04-25 22:52:42,ST003,CUST00531,Click & Collect,Mobile Wallet,Completed,11.05,0.0,0.0,0.0,11.05
ORD000009,2025-07-01 15:32:08,ST007,CUST00280,In-store,Card,Completed,16.25,0.0,0.36,0.0,16.61
ORD000010,2025-01-04 11:40:04,ST003,,In-store,Cash,Completed,11.45,0.0,0.37,0.0,11.82
ORD000011,2025-09-23 12:34:36,ST003,CUST00270,In-store,Card,Completed,26.2,0.0,1.28,0.0,27.48
ORD000012,2025-12-09 20:08:31,ST003,CUST00156,In-store,Card,Completed,39.1,0.0,0.0,0.0,39.1
ORD000013,2025-03-07 19:48:36,ST001,,In-store,Cash,Completed,16.95,0.0,2.22,0.0,19.17
ORD000014,2025-09-01 23:46:42,ST003,CUST00573,Online,Card,Completed,18.05,0.0,2.18,3.49,23.72
ORD000015,2025-11-27 05:41:29,ST004,CUST00523,In-store,Card,Completed,16.3,0.0,0.82,0.0,17.12
ORD000016,2025-06-21 04:30:06,ST006,CUST00616,In-store,Card,Completed,27.8,1.2,1.74,0.0,28.34
ORD000017,2025-04-15 20:25:13,ST002,CUST00270,Online,Card,Completed,16.75,0.0,2.21,3.49,22.45
ORD000018,2025-08-01 12:39:44,ST004,CUST00409,In-store,Card,Completed,18.4,0.0,3.44,0.0,21.84
ORD000019,2025-07-14 12:42:31,ST006,CUST00101,In-store,Card,Refunded,16.4,0.0,1.04,0.0,17.44
ORD000020,2025-08-26 16:13:05,ST005,,In-store,Card,Completed,23.3,0.0,1.7,0.0,25.0
ORD000021,2025-04-14 21:09:05,ST002,CUST00086,In-store,Gift Card,Completed,36.6,0.58,4.22,0.0,40.24
ORD000022,2025-08-20 10:21:31,ST006,CUST00486,In-store,Cash,Completed,28.5,0.62,4.12,0.0,32.0
ORD000023,2025-05-06 15:11:28,ST007,CUST00644,In-store,Card,Completed,6.9,0.0,0.0,0.0,6.9
ORD000024,2025-05-05 20:44:27,ST008,CUST00139,In-store,Card,Completed,18.0,0.0,0.0,0.0,18.0
ORD000025,2025-01-14 21:35:40,ST006,,In-store,Card,Completed,9.3,0.0,0.72,0.0,10.02
ORD000026,2025-11-16 12:08:18,ST007,CUST00608,In-store,Card,Refunded,44.0,0.0,4.66,0.0,48.66
ORD000027,2025-09-20 01:42:49,ST002,,In-store,Card,Completed,18.5,0.0,0.0,0.0,18.5
ORD000028,2025-09-25 12:18:14,ST003,CUST00691,In-store,Card,Refunded,34.55,0.3,0.65,0.0,34.9
ORD000029,2025-11-21 05:12:52,ST008,CUST00255,In-store,Mobile Wallet,Completed,20.9,0.0,1.64,0.0,22.54
ORD000030,2025-05-11 11:41:21,ST007,,In-store,Card,Completed,22.9,0.0,0.52,0.0,23.42
ORD000031,2025-10-18 16:52:35,ST006,CUST00072,In-store,Mobile Wallet,Completed,18.5,0.0,2.08,0.0,20.58
ORD000032,2025-03-20 23:34:03,ST004,CUST00278,In-store,Card,Completed,10.4,0.0,1.28,0.0,11.68
ORD000033,2025-01-27 11:19:42,ST002,CUST00578,Online,Card,Completed,2.0,0.0,0.0,3.49,5.49
ORD000034,2025-10-01 04:59:40,ST004,CUST00625,In-store,Mobile Wallet,Completed,7.7,0.0,0.0,0.0,7.7
ORD000035,2025-04-21 22:15:38,ST004,CUST00708,In-store,Card,Completed,12.55,0.0,1.72,0.0,14.27
ORD000036,2025-02-04 20:51:39,ST003,CUST00413,In-store,Card,Completed,26.4,0.0,2.7,0.0,29.1
ORD000037,2025-06-23 07:19:50,ST005,CUST00468,In-store,Card,Completed,41.9,0.0,3.96,0.0,45.86
ORD000038,2025-07-31 18:32:46,ST007,CUST00671,In-store,Card,Completed,46.3,0.0,3.78,0.0,50.08
ORD000039,2025-05-05 03:40:35,ST006,CUST00413,In-store,Card,Completed,12.2,0.0,1.04,0.0,13.24
ORD000040,2025-11-05 07:09:06,ST006,CUST00734,In-store,Card,Completed,25.95,0.0,0.6,0.0,26.55
ORD000041,2025-11-09 22:52:18,ST008,CUST00124,In-store,Card,Completed,17.9,0.0,0.34,0.0,18.24
ORD000042,2025-12-26 21:46:20,ST003,,In-store,Card,Completed,27.1,0.0,5.04,0.0,32.14
ORD000043,2025-03-13 09:46:54,ST001,CUST00208,In-store,Mobile Wallet,Completed,11.3,0.0,1.3,0.0,12.6
ORD000044,2025-03-04 19:54:05,ST004,CUST00531,In-store,Card,Completed,21.9,0.0,2.76,0.0,24.66
ORD000045,2025-02-19 20:24:47,ST004,,Click & Collect,Mobile Wallet,Completed,8.25,0.57,0.0,0.0,7.68
ORD000046,2025-10-30 00:17:18,ST004,CUST00146,In-store,Card,Completed,22.85,0.0,2.08,0.0,24.93
ORD000047,2025-10-27 03:28:25,ST002,CUST00512,In-store,Card,Completed,22.3,0.0,1.56,0.0,23.86
ORD000048,2025-04-17 13:56:38,ST008,CUST00284,In-store,Mobile Wallet,Completed,4.5,0.0,0.0,0.0,4.5
ORD000049,2025-12-10 00:00:18,ST006,CUST00082,In-store,Card,Completed,20.2,0.0,0.0,0.0,20.2
ORD000050,2025-12-03 20:43:09,ST002,CUST00386,In-store,Card,Completed,35.75,0.0,3.71,0.0,39.46
ORD000051,2025-02-24 23:59:24,ST002,CUST00630,In-store,Cash,Completed,5.6,0.0,0.44,0.0,6.04
ORD000052,2025-10-25 16:17:38,ST002,CUST00498,In-store,Mobile Wallet,Completed,13.8,0.0,1.41,0.0,15.21
ORD000053,2025-01-09 03:49:25,ST006,CUST00523,Click & Collect,Card,Completed,46.0,0.55,6.08,0.0,51.53
ORD000054,2025-02-08 03:41:35,ST005,CUST00048,In-store,Card,Completed,11.9,0.0,1.44,0.0,13.34
ORD000055,2025-10-27 06:41:26,ST005,CUST00384,In-store,Mobile Wallet,Completed,16.25,0.0,2.25,0.0,18.5
ORD000056,2025-07-26 01:46:38,ST001,CUST00766,In-store,Card,Completed,33.3,1.8,0.24,0.0,31.74
